target,y_cov,rtg,n_dates,rho_lvl,abs_rho_lvl,rho_res,abs_rho_res,share_res_gt_03,acf1_res,stress_lift_res,stress_lift_lvl
yield,market_lev,AAA,207,-0.158484337655258,0.18171218308933168,0.0638315444392188,0.23085627205420384,0.4057971014492754,0.8998177542969026,-0.1057574607953366,-0.003458758990827787
yield,market_lev,AA,207,0.048919540346470884,0.09239711004845262,-0.029265390784487495,0.12124833620476225,0.0966183574879227,0.9053828427591256,-0.020209207909262922,0.04296257716297486
yield,market_lev,A,207,0.018894755606704297,0.057798905672963016,-0.0174358352969231,0.07476821650966464,0.014492753623188406,0.9267184344584891,0.012595143263452208,0.022202011313573723
yield,market_lev,BBB,207,0.028257836841686316,0.04127532792790622,0.012375731732603932,0.0746195919819037,0.004830917874396135,0.923183231585218,0.05674693891652238,0.039605926598641844
yield,market_lev,BB,207,0.06689179505258239,0.09513109507327157,0.024378368991254055,0.15819020595707398,0.15458937198067632,0.9494094836283974,0.09674867722893007,0.042829148953760734
yield,market_lev,B,207,0.08422720807097137,0.12463034212525441,-0.022850749308776726,0.11398176842251956,0.09178743961352658,0.7794540781266103,0.11622407627318893,0.11119496197771495
yield,me,AAA,207,0.16233134348712516,0.18257418583505536,0.0,0.22123690713946328,0.3864734299516908,0.8916716493869581,-0.07417019466097122,-0.04241311262126815
yield,me,AA,207,0.07665781490264116,0.09940796502281002,-0.10534532614008382,0.15627432413462508,0.13526570048309178,0.9325155910448132,-0.04842632486363943,0.015730277520184494
yield,me,A,207,0.03002719430550076,0.06161539096304491,-0.029261435499693348,0.07274195647118394,0.0966183574879227,0.9622122526870357,0.04220453430774208,0.04310714469450631
yield,me,BBB,207,-0.11316185161669158,0.11316185161669158,-0.057498351028974826,0.0999908499804327,0.08695652173913043,0.9453749631759717,0.17557463200373885,0.1781151900493082
yield,me,BB,207,-0.2509335634651073,0.2509335634651073,-0.010385144626373253,0.15461571854586945,0.18357487922705315,0.9168716985529621,0.005300871043665167,-0.05304315372467139
yield,me,B,207,-0.4177935041727951,0.4177935041727951,-0.16235406730458732,0.24892939689147855,0.36231884057971014,0.9181569389143956,0.08520809094946846,-0.0678386515865228
yield,mom6,AAA,207,-0.049999999999999996,0.5186775788023661,-0.22727272727272727,0.5833333333333334,0.7772020725388601,0.7441822329101302,0.09146769553579437,0.19596551567299203
yield,mom6,AA,207,0.08707372962661256,0.479526185536543,-0.0923135048906427,0.48857217671043285,0.7409326424870466,0.8256031429328466,0.19860001397069305,0.2646352120282301
yield,mom6,A,207,0.08469133945223775,0.46273843891710803,-0.056925585707024245,0.49906136023770187,0.7357512953367875,0.8453050196728247,0.1805928320571209,0.1809747835057101
yield,mom6,BBB,207,0.06729893112098621,0.4498722750323597,-0.035823159235455294,0.4488653186192046,0.6787564766839378,0.8766253764812645,0.16810912224813906,0.18730681316136877
yield,mom6,BB,207,-0.06941042932781623,0.2638498898075926,-0.039447660593338464,0.3479209794759567,0.5595854922279793,0.8681314369949946,-0.031506223604404526,0.16656055857926488
yield,mom6,B,207,-0.1324308847951573,0.21947860629743637,0.007990314769975788,0.26054131479215775,0.43523316062176165,0.8559126394971318,0.18253740863014284,0.20756197457031503
yield,mom6mspread,AAA,207,-0.17792716404278067,0.3288811800814099,-0.07678271308523409,0.3021390374331551,0.5077720207253886,0.5430322352050497,-0.008771690494379591,0.040607977707022846
yield,mom6mspread,AA,207,-0.23618167671896861,0.2784949659679687,-0.07686613907190103,0.27505532378015596,0.46632124352331605,0.7692917357763123,0.044841986515714416,0.04718865048919163
yield,mom6mspread,A,207,-0.25615663076687434,0.282887632877966,-0.062456417678628945,0.22176610107644593,0.39378238341968913,0.7952684705569879,0.09504482303013492,0.01919033728020908
yield,mom6mspread,BBB,207,-0.27980765470646507,0.3129988111671533,-0.05875842275216968,0.23320513586979053,0.36787564766839376,0.8723630596969759,0.09613253414818365,0.019003477968015547
yield,mom6mspread,BB,207,-0.35971929589776497,0.35971929589776497,-0.048492602621578396,0.2256578053945731,0.35751295336787564,0.7637543800113092,0.14978874531760492,-0.08299954893430006
yield,mom6mspread,B,207,-0.33287237107461826,0.33287237107461826,-0.0677896607100147,0.15353649610752548,0.19689119170984457,0.5906602093610775,0.029332050272543875,-0.06242064768095079
yield,mom6xrtg,AAA,207,0.8833333333333333,0.8833333333333333,-0.17307692307692307,0.6111336032388665,0.7246376811594203,0.9239428354697778,-0.1780367084390586,-0.2606682146542827
yield,mom6xrtg,AA,207,0.7669219809173249,0.7669219809173249,0.12138165751134464,0.38950297529860006,0.6231884057971014,0.9296802480945071,-0.11988938531087262,-0.170574260625719
yield,mom6xrtg,A,207,0.8168598218930432,0.8168598218930432,0.12148532473301042,0.4037278574993588,0.6086956521739131,0.9502024367775155,-0.2410175020230429,-0.21594967299149315
yield,mom6xrtg,BBB,207,0.8368558216411213,0.8368558216411213,0.17712969189065692,0.3064472621331897,0.5120772946859904,0.9005455001856173,-0.2497682911271985,-0.33478171927876255
yield,mom6xrtg,BB,207,0.8508191830553032,0.8508191830553032,0.058538568043856834,0.15632863988626955,0.18840579710144928,0.7359109306480579,0.09098342541774862,-0.22699466420041814
yield,mom6xrtg,B,207,0.8885625801967748,0.8885625801967748,0.04461706455724403,0.1863142340602997,0.2995169082125604,0.6378940547855579,0.11978777964638138,-0.19584595299748397
yield,retexc,AAA,207,0.006893533209322683,0.42020540343461665,-0.010236822001527883,0.4076923076923077,0.642512077294686,0.05386392873385821,0.07124192210399105,0.03036579270699058
yield,retexc,AA,207,-0.0024932823052521667,0.357654904140039,-0.0048030928132483195,0.34966876845717937,0.5797101449275363,0.026633972107309844,0.16482392162129428,0.26048971721340114
yield,retexc,A,207,-0.0182018966799703,0.3531421355008928,-0.013272812967335922,0.35143584854081517,0.5507246376811594,0.08449120296100605,0.12039340237556195,0.1359426746630802
yield,retexc,BBB,207,0.05031085852090352,0.3284133891105223,0.06337516774377748,0.3326303105321111,0.5748792270531401,0.20064558164614996,-0.021099949125563344,0.06890977579903007
yield,retexc,BB,207,-0.03354276487306917,0.22124960381123648,0.003794678003464021,0.2286241249955736,0.3864734299516908,0.19508478815700597,0.009849971564482307,0.09542444113044476
yield,retexc,B,207,-0.06865329457467,0.16671975297794425,0.014446852028107979,0.16368687593545608,0.2753623188405797,0.23846859427215325,0.06127304088239144,0.048943524578434094
yield,rvol_21d,AAA,207,0.11396057645963792,0.17239884636824623,0.0,0.17162776997574078,0.19806763285024154,0.5113100131153143,-0.008517482409691385,-0.0026933926671893205
yield,rvol_21d,AA,207,0.037801024560319745,0.08406772870173522,-0.0030322281685609847,0.10553112221118208,0.07246376811594203,0.6989376843457636,0.20914191856401937,0.23984108252460642
yield,rvol_21d,A,207,0.04915159442587302,0.08432846667525867,-0.0012605299495276594,0.0838242960720392,0.0821256038647343,0.8364189529539273,0.315406695607519,0.3022805256439981
yield,rvol_21d,BBB,207,0.18013655160900602,0.18013655160900602,0.008097523705054538,0.10356510254657017,0.057971014492753624,0.8926745271707476,0.12246022951225582,0.17935406810720927
yield,rvol_21d,BB,207,0.20509718572134258,0.20509718572134258,0.006263050627201456,0.10649623143004906,0.0966183574879227,0.6811892890006029,0.07576443331359667,0.1647906165961365
yield,rvol_21d,B,207,0.3017812834536107,0.3017812834536107,0.025438649123238944,0.118372258482513,0.17391304347826086,0.6106394584693094,0.13972744675027432,-0.07391491135745829
